N,P,K,temperature,humidity,ph,rainfall,label,frost_risk,pest_pressure,crop_density
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,rice,0.9568850139949169,0.5760045525694651,0.44978038520862024
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,0.7728624227964218,0.7473932462328421,0.7870165121576491
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,0.18154982518969082,0.00996915535851978,0.51054362414349
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,0.8284469590338063,0.24066841782527917,0.3910816347914114
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,0.25436422958871824,0.3879442556267329,0.5905292620654987
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,0.4341381090917345,0.8207984144387196,0.5655404566301263
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,0.5001289041431637,0.4880299973849888,0.5661501675761842
94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,rice,0.18052677095466235,0.8013320304158578,0.24201873662459134
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,rice,0.9841859038088199,0.8988085259815196,0.4174925466154464
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,0.6334268654110007,0.2652054267962462,0.45922520433790753
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,0.007488266493905657,0.430002073154398,0.9876731473042106
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,0.7923421958134139,0.6542669255089415,0.06809079663171974
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,0.26695276588642525,0.4476311905933304,0.18361182826787997
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,0.12408832396784457,0.8062693300113106,0.17008223892547952
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,0.3068748636812602,0.9173055225800157,0.568340745087623
60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,rice,0.5039318655139561,0.13327225581483185,0.6211830100510387
85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,rice,0.3866584522444527,0.3140831856880425,0.6873205504776188
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice,0.7788971913808965,0.14453156375378123,0.12562370081793622
77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,rice,0.8319623679622795,0.5015073936137866,0.24459529628799587
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,rice,0.4982832674685998,0.214010645249922,0.5615864600257989
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,0.03018361314651152,0.9088628018247533,0.5557110295021506
